famille	classe	superfamily
1360	DNA	P
1731	LTR	Copia
17.6	LTR	Gypsy
297	LTR	Gypsy
3S18	LTR	Bel-Pao
412	LTR	Gypsy
accord	LTR	Gypsy
accord2	LTR	Gypsy
Adoxo	LTR	Gypsy
aurora-element	LTR	Bel-Pao
baggins	LINE	Loa
Bari1	DNA	Tc1-Mariner
blood	LTR	Gypsy
BS	LINE	Jockey
BS3	LINE	Jockey
Burdock	LTR	Gypsy
Circe	LTR	Gypsy
copia	LTR	Copia
Cr1a	LINE	CR1
Damoeto	LTR	Gypsy
Dana_Tom	LTR	Gypsy
Dbif_P-element_M	DNA	P
Dbif_P-element_O	DNA	P
diver	LTR	Bel-Pao
diver2	LTR	Bel-Pao
Dm88	LTR	Copia
Dmau_mariner	DNA	Tc1-Mariner
Doc	LINE	Jockey
Doc2-element	LINE	Jockey
Doc3-element	LINE	Jockey
Dpse_mini-me	unknown	unknown
Dsil_Loa	LINE	Loa
Dsim_ninja	LTR	Bel-Pao
Dtak_R1A2	LINE	R1
Dtei_I-element	LINE	I
Dyak_TART	LINE	Jockey
FB	DNA	Tc1-Mariner
F-element	LINE	Jockey
flea	LTR	Gypsy
frogger	LTR	Copia
Fw2	LINE	Jockey
Fw3	LINE	Jockey
G2	LINE	Jockey
G3	LINE	Jockey
G4	LINE	Jockey
G5	LINE	Jockey
G5A	LINE	Jockey
G6	LINE	Jockey
G6-fl	LINE	Jockey
GATE	LTR	Bel-Pao
Gedeo_Dm	LTR	Gypsy
Gedeo_DSe	LTR	Gypsy
G-element	LINE	Jockey
gtwin	LTR	Gypsy
gypsy	LTR	Gypsy
gypsy10	LTR	Gypsy
gypsy12	LTR	Gypsy
gypsy2	LTR	Gypsy
Gypsy20S_DYa	LTR	Gypsy
Gypsy2S	LTR	Gypsy
gypsy3	LTR	Gypsy
gypsy4	LTR	Gypsy
gypsy5	LTR	Gypsy
gypsy6	LTR	Gypsy
GYPSY6S_A	LTR	Gypsy
GYPSY6S_B	LTR	Gypsy
gypsy7	LTR	Gypsy
gypsy8	LTR	Gypsy
HB	DNA	Tc1-Mariner
Helena	LINE	Jockey
HeT-A	LINE	Jockey
HMS-Beagle	LTR	Gypsy
HMS-Beagle2	LTR	Gypsy
hobo	DNA	hAT
hopper	DNA	Transib
hopper2	DNA	Transib
Idefix	LTR	Gypsy
I-element	LINE	I
INE-1	DNA	Helitron
invader1	LTR	Gypsy
invader2	LTR	Gypsy
invader3	LTR	Gypsy
invader4	LTR	Gypsy
invader5	LTR	Gypsy
invader6	LTR	Gypsy
Ivk	LINE	I
jockey	LINE	Jockey
jockey2	LINE	Jockey
Juan	LINE	Jockey
looper1	DNA	PiggyBac
Lycido	LTR	Gypsy
mariner2	DNA	Tc1-Mariner
Max-element	LTR	Bel-Pao
McClintock	LTR	Gypsy
mdg1	LTR	Gypsy
mdg1_DSe_A	LTR	Gypsy
mdg1_DSe_B	LTR	Gypsy
mdg3	LTR	Gypsy
micropia	LTR	Gypsy
NOF	DNA	MuDR
opus	LTR	Gypsy
Osvaldo	LTR	Gypsy
P-element	DNA	P
Phanio_DEr	LTR	Gypsy
Phanio_DSe	LTR	Gypsy
Phanio_DSim	LTR	Gypsy
Phidippo_Dm	LTR	Gypsy
Phidippo_DSe	LTR	Gypsy
Pifo_DEr_A	LTR	Gypsy
Pifo_DEr_B	LTR	Gypsy
Pifo_Dm_A	LTR	Gypsy
pogo	DNA	Tc1-Mariner
Porto1	LINE	Jockey
Q-element	LINE	CR1
Quasimodo	LTR	Gypsy
R1-2	LINE	R1
R1A1-element	LINE	R1
R2-element	LINE	R2
roo	LTR	Bel-Pao
rooA	LTR	Bel-Pao
rover	LTR	Gypsy
Rt1a	LINE	R1
Rt1b	LINE	R1
Rt1c	LINE	R1
S2	DNA	Tc1-Mariner
S-element	DNA	Tc1-Mariner
springer	LTR	Gypsy
Stalker	LTR	Gypsy
Stalker2	LTR	Gypsy
Stalker3T	LTR	Gypsy
Stalker4	LTR	Gypsy
Tabor	LTR	Gypsy
TART-A	LINE	Jockey
TART-C	LINE	Jockey
Tc1	DNA	Tc1-Mariner
Tc1-2	DNA	Tc1-Mariner
Tc3	DNA	Tc1-Mariner
Tirant	LTR	Gypsy
Tom1	LTR	Gypsy
transib1	DNA	Transib
transib2	DNA	Transib
transib3	DNA	Transib
transib4	DNA	Transib
Transpac	LTR	Gypsy
Uxumo	LTR	Gypsy
Vatovio	LTR	Gypsy
X-element	LINE	Jockey
ZAM	LTR	Gypsy
ZAMdeleted	LTR	Gypsy